,event_id,member_id,group_id
305,mxrcjnywjbbc,230042713,24556869
306,227267904,189146542,18914937
307,244073127,235689203,25903892
308,244073127,4579315,25903892
309,243626790,4579315,25903892
310,243626790,134837882,25903892
311,243627655,4579315,25903892
312,243627655,134837882,25903892
313,243635917,4579315,25903892
314,243635917,4883361,25903892
315,243560370,4579315,25903892
316,243560370,134837882,25903892
317,229367987,91626512,18672773
318,228826479,41099822,18672773
319,228826479,194619840,18672773
320,228826479,91626512,18672773
321,228372137,7898365,18672773
322,228372137,194619840,18672773
323,228372137,91626512,18672773
324,cfjfjlyvcbnc,91626512,18672773
325,228200220,91626512,18672773
326,cfjfjlyvcbvb,7898365,18672773
327,cfjfjlyvcbvb,91626512,18672773
328,227760340,194619840,18672773
329,227760340,91626512,18672773
330,cfjfjlytqbzb,7898365,18672773
331,cfjfjlytqbzb,91626512,18672773
332,cfjfjlytqbhb,194619840,18672773
333,cfjfjlytqbhb,91626512,18672773
334,226440187,41099822,18672773
335,226440187,194619840,18672773
336,226440187,91626512,18672773
337,cfjfjlytpbkb,41099822,18672773
338,cfjfjlytpbkb,194619840,18672773
339,cfjfjlytpbkb,91626512,18672773
340,238241648,121080112,20822884
341,235000790,121080112,20822884
342,240006875,201575990,22288842
343,240006875,221654701,22288842
344,238501010,221654701,22288842
345,243301208,236254773,25885346
346,243301208,183725046,25885346
347,243301208,184920661,25885346
348,237681964,186320543,20573895
349,234642222,186320543,20573895
350,242467613,237427415,25105164
351,242467613,236020975,25105164
352,242467613,80119952,25105164
353,242467613,227165725,25105164
354,hvbxpnywnbkb,80119952,25105164
355,hvbxpnywmbdb,230246750,25105164
356,hvbxpnywmbdb,80119952,25105164
357,241965014,80119952,25105164
358,243040831,231970248,25590123
359,243040831,234283796,25590123
360,243040831,10577493,25590123
361,243040831,230684071,25590123
362,243040831,225854465,25590123
363,243040831,236529781,25590123
364,242759624,234283796,25590123
365,242759624,230684071,25590123
366,242759624,225854465,25590123
367,242759624,215256873,25590123
368,242759624,234823258,25590123
369,240485098,50502232,23040833
370,240485098,190717209,23040833
371,240485098,220902665,23040833
372,238779646,188670284,23040833
373,238779646,80814272,23040833
374,238779646,89446912,23040833
375,238779646,132938082,23040833
376,238779646,50502232,23040833
377,238779646,190717209,23040833
378,238779646,220902665,23040833
379,244334721,205798116,10032122
380,244334721,4277271,10032122
381,244334721,198583489,10032122
382,244334721,2256087,10032122
383,241901625,170557622,10032122
384,241901625,191664156,10032122
385,241901625,2256087,10032122
386,240835965,89800802,10032122
387,240835965,4277271,10032122
388,240835965,198583489,10032122
389,240835965,2256087,10032122
390,240662909,191664156,10032122
391,240662909,2256087,10032122
392,239206676,4277271,10032122
393,239206676,31053182,10032122
394,239206676,2256087,10032122
395,238840255,4277271,10032122
396,238840255,2256087,10032122
397,238840255,109003802,10032122
398,238840255,10082923,10032122
399,233091851,145524752,18964683
400,233091851,198117708,18964683
401,233091851,6699278,18964683
402,232729387,145524752,18964683
403,232729387,106513552,18964683
404,242776081,191758521,22504351
405,237893575,6141229,22504351
406,sdcmnlyvkbqb,7964302,19266450
407,sdcmnlyvkbqb,117599352,19266450
408,sdcmnlyvjbsb,117599352,19266450
409,sdcmnlyvhbnb,117599352,19266450
410,sdcmnlyvgbqb,117599352,19266450
411,sdcmnlyvfblb,117599352,19266450
412,sdcmnlyvdbmb,13385553,19266450
413,sdcmnlyvdbmb,117599352,19266450
414,sdcmnlyvdbmb,117669402,19266450
415,sdcmnlyvcbqb,117599352,19266450
416,242102031,190170609,24616027
417,242102031,233746608,24616027
418,242102031,50979842,24616027
419,242102031,230751605,24616027
420,242102031,183422087,24616027
421,242102031,194474068,24616027
422,242102031,135932122,24616027
423,242102031,62850222,24616027
424,242102031,233659681,24616027
425,242102031,10119159,24616027
426,242102031,60040572,24616027
427,242102031,9486559,24616027
428,242102031,32159462,24616027
429,242102031,206545047,24616027
430,243305432,183592683,25150760
431,243305432,230684071,25150760
432,243305432,201955744,25150760
433,243556357,183592683,25150760
434,243556357,230684071,25150760
435,243024248,183592683,25150760
436,243024248,13273531,25150760
437,243024248,236072570,25150760
438,243024248,230684071,25150760
439,243024248,235492846,25150760
440,243024248,235402432,25150760
441,243024248,235674307,25150760
442,243682923,189158266,26018023
443,243682923,60410022,26018023
444,243682923,158907722,26018023
445,243682923,105002772,26018023
446,243682923,237187969,26018023
447,243589984,1124238,26018023
448,243589984,60195472,26018023
449,243589984,105002772,26018023
450,243589984,237187969,26018023
451,239610618,14561217,23486559
452,233793661,213270822,20377182
453,233793661,211050959,20377182
454,233793661,195789852,20377182
455,233793661,213053412,20377182
456,233793661,213376758,20377182
457,240532499,227549082,24038214
458,240532499,29969672,24038214
459,240532499,7268130,24038214
460,240532499,128674982,24038214
461,230469545,10310662,19855182
462,239678500,102802112,20836828
463,239678500,224348301,20836828
464,239678500,239605811,20836828
465,239678500,171095192,20836828
466,239678500,10006822,20836828
467,239678500,229251517,20836828
468,239678500,214224363,20836828
469,239678500,218394062,20836828
470,239676973,102802112,20836828
471,239676973,133440072,20836828
472,239676973,10006822,20836828
473,239676973,229251517,20836828
474,239676973,14488312,20836828
475,239676973,218394062,20836828
476,239676865,226903957,20836828
477,239676865,102802112,20836828
478,239676865,133440072,20836828
479,239676865,14201499,20836828
480,239676865,10006822,20836828
481,239676865,8304651,20836828
482,239676865,229251517,20836828
483,239676865,14488312,20836828
484,239676865,73676282,20836828
485,239676754,102802112,20836828
486,239676754,224348301,20836828
487,239676754,133440072,20836828
488,239676754,10006822,20836828
489,241553652,102802112,20836828
490,239265962,226903957,20836828
491,239265962,102802112,20836828
492,239265962,224348301,20836828
493,239265962,133440072,20836828
494,239265962,187294708,20836828
495,239265962,226325820,20836828
496,239265962,214224363,20836828
497,237994653,223695300,20836828
498,237994653,102802112,20836828
499,237994653,133440072,20836828
500,237994653,14201499,20836828
501,237994653,8304651,20836828
502,237994653,218394062,20836828
503,237961610,223695300,20836828
504,237961610,102802112,20836828
505,237961610,224348301,20836828
506,237961610,133440072,20836828
507,237961610,171095192,20836828
508,237961610,220560147,20836828
509,237961610,10006822,20836828
510,237961610,8304651,20836828
511,237961610,214224363,20836828
512,237961610,218394062,20836828
513,238580113,102802112,20836828
514,238580113,133440072,20836828
515,238580113,210903142,20836828
516,237674735,102802112,20836828
517,237674735,207279704,20836828
518,237674735,133440072,20836828
519,237674735,171095192,20836828
520,237674735,10006822,20836828
521,237674735,210903142,20836828
522,237674735,14488312,20836828
523,237674735,81924252,20836828
524,237674735,196136292,20836828
525,236777375,102802112,20836828
526,236777375,133440072,20836828
527,236777375,187294708,20836828
528,236777375,14488312,20836828
529,236777375,214224363,20836828
530,236777375,81924252,20836828
531,236777375,218394062,20836828
532,235699507,102802112,20836828
533,235699507,129560482,20836828
534,235699507,133440072,20836828
535,235699507,187294708,20836828
536,235699507,171095192,20836828
537,235699507,10006822,20836828
538,235699507,210903142,20836828
539,235699507,14488312,20836828
540,235699507,214224363,20836828
541,235699507,81924252,20836828
542,235699507,218394062,20836828
543,235099346,102802112,20836828
544,235099346,133440072,20836828
545,235099346,187294708,20836828
546,235099346,171095192,20836828
547,235099346,10006822,20836828
548,235099346,210903142,20836828
549,235099346,81924252,20836828
550,243966491,201787805,26040985
551,243966491,91541222,26040985
552,243966491,226811920,26040985
553,243634313,201787805,26040985
554,243634313,91541222,26040985
555,243634313,56291452,26040985
556,243634313,136015092,26040985
557,243634313,2434993,26040985
558,243634313,196348087,26040985
559,243634313,189225336,26040985
560,235149668,139895532,20909584
561,235149668,215899857,20909584
562,235149668,82545112,20909584
563,235149668,3723852,20909584
564,235149668,187271983,20909584
565,235149668,183378188,20909584
566,235149668,194939680,20909584
