group1,group2,weight
20947040,16607822,1
20947040,13560402,5
20947040,16477792,1
20947040,1671273,1
20947040,6190702,1
20947040,15552112,1
20947040,7130232,3
20947040,929402,1
20947040,1776274,2
20947040,7138452,1
20947040,19713173,1
20947040,18494105,5
20947040,252576,1
20947040,26090658,1
20947040,19277993,1
20947040,7836842,8
20947040,25129130,1
20947040,6707902,3
20947040,4126912,1
20947040,10178242,6
20947040,19904711,1
20947040,14546632,1
20947040,16062152,4
20947040,11184352,6
20947040,8771812,1
20947040,18361585,2
20947040,15297782,5
20947040,18556157,1
20947040,1358081,1
20947040,1787157,1
20947040,16954142,1
20947040,18850080,3
20947040,22643488,1
20947040,25521445,2
20947040,1360698,3
20947040,20806988,1
20947040,23353167,2
20947040,5282132,1
20947040,22021463,1
20947040,5618532,1
20947040,11625832,4
20947040,3173762,4
20947040,1187715,1
20947040,16487812,4
20947040,14396812,1
20947040,19218850,4
20947040,21837219,1
20947040,23594916,14
20947040,3376042,1
20947040,20583850,1
20947040,17467312,3
20947040,18589616,3
20947040,405938,1
20947040,18314164,1
20947040,9376702,1
20947040,18180033,1
20947040,16536012,1
20947040,1498076,1
20947040,17872862,2
20947040,204767,1
20947040,10016242,4
20947040,19654655,1
20166757,19262745,3
20166757,19416348,1
20166757,21533726,1
20166757,18955830,2
20166757,1360698,1
20166757,19108156,2
20166757,339011,1
20166757,16607822,2
20166757,7151442,1
20166757,16477792,1
20166757,11625832,1
20166757,15552112,1
20166757,7130232,1
20166757,24277119,1
20166757,16487812,2
20166757,21686664,1
20166757,1776274,2
20166757,11862932,1
20166757,18494105,2
20166757,7836842,1
20166757,17467312,1
20166757,405938,1
20166757,1578685,1
20166757,4126912,2
20166757,10178242,1
20166757,14649032,2
20166757,16062152,1
20166757,18616278,3
20166757,11077852,3
20166757,22197221,1
20166757,18361585,2
20166757,10016242,1
20166757,15297782,2
20166757,19654655,1
1507431,12847372,1
1507431,19194894,1
1507431,19728145,7
1507431,2556962,1
1507431,18642226,1
1507431,18955830,4
1507431,20181560,1
1507431,339011,1
1507431,1772099,1
1507431,1371991,1
1507431,24039540,1
1507431,929402,1
1507431,1187715,4
1507431,24803205,1
1507431,19708553,1
1507431,10426762,1
1507431,18665368,1
1507431,18314669,2
1507431,18297014,3
1507431,20384452,1
1507431,24431556,1
1507431,16062152,1
1507431,227528,1
1507431,18660552,1
1507431,7699922,1
1507431,1349592,4
1507431,22197221,1
1507431,1642477,2
1507431,18634990,1
1507431,18243826,3
1507431,1505523,1
1507431,24693747,1
1507431,18414590,1
1507431,23394559,1
1671273,3173762,1
1671273,1187715,1
1671273,16487812,1
1671273,1728035,1
1671273,7836842,2
1671273,18589616,1
1671273,17467312,1
1671273,405938,1
1671273,1360698,1
1671273,9376702,1
1671273,10178242,2
1671273,14649032,1
1671273,16607822,1
1671273,23353167,1
1671273,17872862,1
1671273,15552112,1
1671273,18361585,1
1671273,15297782,1
1671273,929402,1
1671273,18556157,1
18823274,1187715,1
18823274,13288852,1
18823274,5282132,1
18823274,16477792,1
18823274,15552112,1
18823274,18955830,1
18823274,7130232,1
18823274,7700282,1
17836142,710272,1
17836142,535553,1
17836142,1187715,1
17836142,18562307,1
17836142,16487812,1
17836142,18714758,1
17836142,1665418,1
17836142,19728145,2
17836142,19713173,1
17836142,11131552,1
17836142,788001,1
17836142,20186791,2
17836142,7836842,2
17836142,711599,1
17836142,18955830,1
17836142,9376702,1
17836142,18549438,1
17836142,339011,1
17836142,19049542,1
17836142,16062152,1
17836142,227528,1
17836142,18506072,2
17836142,21174496,1
17836142,19827046,1
17836142,20807142,1
17836142,526316,5
17836142,18243826,1
17836142,10016242,1
24039540,12847372,1
24039540,19728145,2
24039540,18425641,1
24039540,18955830,1
24039540,20181560,1
24039540,1526075,3
24039540,528705,1
24039540,1772099,1
24039540,24431556,1
24039540,21522768,1
24039540,1349592,4
24039540,11077852,1
24039540,22197221,1
24039540,526316,1
24039540,18243826,1
24039540,47094,1
24748157,18361585,1
24748157,1324203,1
24748157,24675279,1
24277119,1187715,1
24277119,18562307,1
24277119,227528,1
24277119,11375762,1
24277119,19713173,1
24277119,18616278,1
24277119,20269464,1
24277119,19847832,1
24277119,18506072,1
24277119,11077852,1
24277119,20807142,2
24277119,18955830,3
24277119,1763190,1
18714758,18562307,1
18714758,217795,1
18714758,1665418,1
18714758,1457232,1
18714758,19713173,1
18714758,18506072,1
18714758,18425641,1
18714758,18243826,1
18714758,18955830,1
18714758,8908602,1
18714758,18549438,5
18821254,3376042,1
18821254,18232817,1
18821254,13560402,1
18821254,1776274,1
18821254,19416348,1
20068490,710272,1
20068490,19728145,1
20068490,788001,1
20068490,19687074,1
20068490,1324203,2
20068490,11776502,2
20068490,929402,1
19824779,18556100,1
19824779,2520612,1
19824779,8805172,1
19824779,19713173,1
19011737,18589616,1
19011737,19728145,1
19011737,13560402,1
19011737,6707902,1
22374557,710272,1
22374557,18562307,1
22374557,1187715,1
22374557,6335372,1
22374557,17487002,1
22374557,21262880,1
22374557,1324203,1
22374557,15335602,2
22374557,8805172,1
22374557,18180033,1
22374557,339011,2
22374557,227528,6
22374557,20807142,1
22374557,526316,3
22374557,1741429,1
15186082,2520612,1
15186082,22771879,1
15186082,1776274,1
15186082,1763190,1
15186082,20780059,1
24744100,11184352,1
24744100,23594916,1
25516196,21957723,1
25516196,18801828,1
25516196,1741429,1
25516196,16954142,1
19099815,4126912,2
19099815,21989057,1
19099815,19728145,1
19099815,7700282,3
19099815,19416348,1
19099815,252576,4
19099815,9307682,2
19099815,19528743,3
19099815,20583850,1
19099815,1169709,1
19099815,20440175,1
19099815,18602480,1
19099815,22023226,1
19099815,19108156,1
22771879,12588802,1
22771879,18672773,1
22771879,18495240,1
22771879,14396812,1
22771879,12847372,1
22771879,20780059,1
22771879,19277993,1
22771879,16140462,1
22771879,18297014,1
22771879,1360698,1
22771879,4705492,1
22771879,1349592,1
22771879,23053409,1
22771879,11625832,1
22771879,18634990,4
19277993,535553,7
19277993,12588802,2
19277993,19194894,2
19277993,18850080,2
19277993,1728035,2
19277993,19997487,3
19277993,1360698,8
19277993,16321082,1
19277993,23353167,3
19277993,7151442,2
19277993,13560402,2
19277993,5282132,1
19277993,20135762,6
19277993,18779992,4
19277993,16477792,10
19277993,5618532,3
19277993,11625832,12
19277993,18837102,2
19277993,7130232,3
19277993,3173762,2
19277993,16487812,5
19277993,14396812,1
19277993,11862932,2
19277993,19713173,1
19277993,18494105,2
19277993,10016162,3
19277993,21837219,2
19277993,19218850,1
19277993,23594916,1
19277993,25129130,1
19277993,17467312,2
19277993,18589616,6
19277993,405938,1
19277993,16447162,3
19277993,9376702,3
19277993,6707902,9
19277993,4126912,1
19277993,10178242,3
19277993,19904711,1
19277993,14546632,2
19277993,18616278,5
19277993,17872862,14
19277993,14557662,2
19277993,8771812,10
19277993,18634990,1
19277993,10016242,6
19277993,15297782,3
19277993,19654655,1
25129130,17894222,2
25129130,18314164,1
25129130,6707902,1
22796457,21174496,1
22796457,339011,1
22796457,19964997,1
22796457,526316,1
22796457,1349592,1
22796457,22585660,1
16140462,18495240,1
16140462,12847372,2
16140462,19713173,1
16140462,19262745,1
16140462,22643488,1
16140462,5282132,2
16140462,11077852,2
16140462,21747934,4
16140462,23053409,7
16140462,22422502,1
16140462,1805550,1
16140462,15552112,1
16140462,1505523,1
16140462,22130047,1
15335602,710272,1
15335602,18562307,2
