event_id,member_id,group_id
228372137,7898365,18672773
228372137,194619840,18672773
228372137,91626512,18672773
cfjfjlyvcbnc,91626512,18672773
228200220,91626512,18672773
cfjfjlyvcbvb,7898365,18672773
cfjfjlyvcbvb,91626512,18672773
227760340,194619840,18672773
227760340,91626512,18672773
cfjfjlytqbzb,7898365,18672773
cfjfjlytqbzb,91626512,18672773
cfjfjlytqbhb,194619840,18672773
cfjfjlytqbhb,91626512,18672773
226440187,41099822,18672773
226440187,194619840,18672773
226440187,91626512,18672773
cfjfjlytpbkb,41099822,18672773
cfjfjlytpbkb,194619840,18672773
cfjfjlytpbkb,91626512,18672773
238241648,121080112,20822884
235000790,121080112,20822884
240006875,201575990,22288842
240006875,221654701,22288842
238501010,221654701,22288842
243301208,236254773,25885346
243301208,183725046,25885346
243301208,184920661,25885346
237681964,186320543,20573895
234642222,186320543,20573895
242467613,237427415,25105164
242467613,236020975,25105164
242467613,80119952,25105164
242467613,227165725,25105164
hvbxpnywnbkb,80119952,25105164
hvbxpnywmbdb,230246750,25105164
hvbxpnywmbdb,80119952,25105164
241965014,80119952,25105164
243040831,231970248,25590123
243040831,234283796,25590123
243040831,10577493,25590123
243040831,230684071,25590123
243040831,225854465,25590123
243040831,236529781,25590123
242759624,234283796,25590123
242759624,230684071,25590123
242759624,225854465,25590123
242759624,215256873,25590123
242759624,234823258,25590123
240485098,50502232,23040833
240485098,190717209,23040833
240485098,220902665,23040833
238779646,188670284,23040833
238779646,80814272,23040833
238779646,89446912,23040833
238779646,132938082,23040833
238779646,50502232,23040833
238779646,190717209,23040833
238779646,220902665,23040833
244334721,205798116,10032122
244334721,4277271,10032122
244334721,198583489,10032122
244334721,2256087,10032122
241901625,170557622,10032122
241901625,191664156,10032122
241901625,2256087,10032122
240835965,89800802,10032122
240835965,4277271,10032122
240835965,198583489,10032122
240835965,2256087,10032122
240662909,191664156,10032122
240662909,2256087,10032122
239206676,4277271,10032122
239206676,31053182,10032122
239206676,2256087,10032122
238840255,4277271,10032122
238840255,2256087,10032122
238840255,109003802,10032122
238840255,10082923,10032122
233091851,145524752,18964683
233091851,198117708,18964683
233091851,6699278,18964683
232729387,145524752,18964683
232729387,106513552,18964683
242776081,191758521,22504351
237893575,6141229,22504351
sdcmnlyvkbqb,7964302,19266450
sdcmnlyvkbqb,117599352,19266450
sdcmnlyvjbsb,117599352,19266450
sdcmnlyvhbnb,117599352,19266450
sdcmnlyvgbqb,117599352,19266450
sdcmnlyvfblb,117599352,19266450
sdcmnlyvdbmb,13385553,19266450
sdcmnlyvdbmb,117599352,19266450
sdcmnlyvdbmb,117669402,19266450
sdcmnlyvcbqb,117599352,19266450
242102031,190170609,24616027
242102031,233746608,24616027
242102031,50979842,24616027
242102031,230751605,24616027
242102031,183422087,24616027
242102031,194474068,24616027
242102031,135932122,24616027
242102031,62850222,24616027
242102031,233659681,24616027
242102031,10119159,24616027
242102031,60040572,24616027
242102031,9486559,24616027
242102031,32159462,24616027
242102031,206545047,24616027
243305432,183592683,25150760
243305432,230684071,25150760
243305432,201955744,25150760
243556357,183592683,25150760
243556357,230684071,25150760
243024248,183592683,25150760
243024248,13273531,25150760
243024248,236072570,25150760
243024248,230684071,25150760
243024248,235492846,25150760
243024248,235402432,25150760
243024248,235674307,25150760
243682923,189158266,26018023
243682923,60410022,26018023
243682923,158907722,26018023
243682923,105002772,26018023
243682923,237187969,26018023
243589984,1124238,26018023
243589984,60195472,26018023
243589984,105002772,26018023
243589984,237187969,26018023
239610618,14561217,23486559
233793661,213270822,20377182
233793661,211050959,20377182
233793661,195789852,20377182
233793661,213053412,20377182
233793661,213376758,20377182
240532499,227549082,24038214
240532499,29969672,24038214
240532499,7268130,24038214
240532499,128674982,24038214
230469545,10310662,19855182
239678500,102802112,20836828
239678500,224348301,20836828
239678500,239605811,20836828
239678500,171095192,20836828
239678500,10006822,20836828
239678500,229251517,20836828
239678500,214224363,20836828
239678500,218394062,20836828
239676973,102802112,20836828
239676973,133440072,20836828
239676973,10006822,20836828
239676973,229251517,20836828
239676973,14488312,20836828
239676973,218394062,20836828
239676865,226903957,20836828
239676865,102802112,20836828
239676865,133440072,20836828
239676865,14201499,20836828
239676865,10006822,20836828
239676865,8304651,20836828
239676865,229251517,20836828
239676865,14488312,20836828
239676865,73676282,20836828
239676754,102802112,20836828
239676754,224348301,20836828
239676754,133440072,20836828
239676754,10006822,20836828
241553652,102802112,20836828
239265962,226903957,20836828
239265962,102802112,20836828
239265962,224348301,20836828
239265962,133440072,20836828
239265962,187294708,20836828
239265962,226325820,20836828
239265962,214224363,20836828
237994653,223695300,20836828
237994653,102802112,20836828
237994653,133440072,20836828
237994653,14201499,20836828
237994653,8304651,20836828
237994653,218394062,20836828
237961610,223695300,20836828
237961610,102802112,20836828
237961610,224348301,20836828
237961610,133440072,20836828
237961610,171095192,20836828
237961610,220560147,20836828
237961610,10006822,20836828
237961610,8304651,20836828
237961610,214224363,20836828
237961610,218394062,20836828
238580113,102802112,20836828
238580113,133440072,20836828
238580113,210903142,20836828
237674735,102802112,20836828
237674735,207279704,20836828
237674735,133440072,20836828
237674735,171095192,20836828
237674735,10006822,20836828
237674735,210903142,20836828
237674735,14488312,20836828
